Date,WinLoss,Open
1/1/2018,11,
1/2/2018,9,
1/3/2018,9,
1/4/2018,9,
1/5/2018,9,
1/6/2018,11,
1/7/2018,10,
1/8/2018,10,
1/9/2018,10,
1/10/2018,10,
1/11/2018,9,
1/12/2018,10,
1/13/2018,10,
1/14/2018,10,
1/15/2018,11,
1/16/2018,10,
1/17/2018,10,
1/18/2018,10,
1/19/2018,10,
1/20/2018,8,
1/21/2018,8,
1/22/2018,7,
1/23/2018,9,
1/24/2018,10,
1/25/2018,12,
1/26/2018,8,
1/27/2018,10,
1/28/2018,7,
1/29/2018,10,
1/30/2018,9,
1/31/2018,9,
2/1/2018,9,
2/2/2018,10,
2/3/2018,10,
2/4/2018,9,
2/5/2018,7,
2/6/2018,11,
2/7/2018,10,
2/8/2018,9,
2/9/2018,13,
2/10/2018,8,
2/11/2018,8,
2/12/2018,10,
2/13/2018,8,
2/14/2018,8,
2/15/2018,10,
2/16/2018,11,
2/17/2018,8,
2/18/2018,9,
2/19/2018,9,
2/20/2018,10,
2/21/2018,10,
2/22/2018,8,
2/23/2018,9,
2/24/2018,9,
2/25/2018,7,
2/26/2018,10,
2/27/2018,9,
2/28/2018,8,
3/1/2018,10,
3/2/2018,9,
3/3/2018,10,
3/4/2018,10,
3/5/2018,7,
3/6/2018,9,
3/7/2018,9,
3/8/2018,7,
3/9/2018,11,
3/10/2018,9,
3/11/2018,12,
3/12/2018,11,
3/13/2018,10,
3/14/2018,11,
3/15/2018,9,
3/16/2018,11,
3/17/2018,8,
3/18/2018,8,
3/19/2018,9,
3/20/2018,11,
3/21/2018,10,
3/22/2018,8,
3/23/2018,8,
3/24/2018,10,
3/25/2018,9,
3/26/2018,8,
3/27/2018,10,
3/28/2018,10,
3/29/2018,11,
3/30/2018,8,
3/31/2018,8,
4/1/2018,6,
4/2/2018,10,
4/3/2018,11,
4/4/2018,13,
4/5/2018,10,
4/6/2018,11,
4/7/2018,12,
4/8/2018,11,
4/9/2018,9,
4/10/2018,9,
4/11/2018,13,
4/12/2018,9,
4/13/2018,10,
4/14/2018,9,
4/15/2018,10,
4/16/2018,11,
4/17/2018,8,
4/18/2018,12,
4/19/2018,9,
4/20/2018,11,
4/21/2018,10,
4/22/2018,11,
4/23/2018,11,
4/24/2018,12,
4/25/2018,10,
4/26/2018,10,
4/27/2018,12,
4/28/2018,10,
4/29/2018,11,
4/30/2018,7,
5/1/2018,11,
5/2/2018,9,
5/3/2018,9,
5/4/2018,9,
5/5/2018,9,
5/6/2018,9,
5/7/2018,10,
5/8/2018,9,
5/9/2018,11,
5/10/2018,9,
5/11/2018,8,
5/12/2018,10,
5/13/2018,10,
5/14/2018,8,
5/15/2018,10,
5/16/2018,9,
5/17/2018,11,
5/18/2018,10,
5/19/2018,12,
5/20/2018,12,
5/21/2018,12,
5/22/2018,8,
5/23/2018,8,
5/24/2018,10,
5/25/2018,9,
5/26/2018,9,
5/27/2018,11,
5/28/2018,9,
5/29/2018,11,
5/30/2018,11,
5/31/2018,8,
6/1/2018,9,
6/2/2018,9,
6/3/2018,8,
6/4/2018,9,
6/5/2018,10,
6/6/2018,10,
6/7/2018,10,
6/8/2018,10,
6/9/2018,10,
6/10/2018,9,
6/11/2018,11,
6/12/2018,9,
6/13/2018,7,
6/14/2018,10,
6/15/2018,9,
6/16/2018,11,
6/17/2018,10,
6/18/2018,11,
6/19/2018,11,
6/20/2018,9,
6/21/2018,10,
6/22/2018,8,
6/23/2018,8,
6/24/2018,7,
6/25/2018,9,
6/26/2018,12,
6/27/2018,8,
