Date,WinLoss,Open
1/1/2018,1,
1/2/2018,0,
1/3/2018,-1,
1/4/2018,-2,
1/5/2018,-3,
1/6/2018,-2,
1/7/2018,-2,
1/8/2018,-2,
1/9/2018,-2,
1/10/2018,-2,
1/11/2018,-3,
1/12/2018,-3,
1/13/2018,-3,
1/14/2018,-3,
1/15/2018,-2,
1/16/2018,-2,
1/17/2018,-2,
1/18/2018,-2,
1/19/2018,-2,
1/20/2018,-4,
1/21/2018,-6,
1/22/2018,-9,
1/23/2018,-10,
1/24/2018,-10,
1/25/2018,-8,
1/26/2018,-10,
1/27/2018,-10,
1/28/2018,-13,
1/29/2018,-13,
1/30/2018,-14,
1/31/2018,-15,
2/1/2018,-16,
2/2/2018,-16,
2/3/2018,-16,
2/4/2018,-17,
2/5/2018,-20,
2/6/2018,-19,
2/7/2018,-19,
2/8/2018,-20,
2/9/2018,-17,
2/10/2018,-19,
2/11/2018,-21,
2/12/2018,-21,
2/13/2018,-23,
2/14/2018,-25,
2/15/2018,-25,
2/16/2018,-24,
2/17/2018,-26,
2/18/2018,-27,
2/19/2018,-28,
2/20/2018,-28,
2/21/2018,-28,
2/22/2018,-30,
2/23/2018,-31,
2/24/2018,-32,
2/25/2018,-35,
2/26/2018,-35,
2/27/2018,-36,
2/28/2018,-38,
3/1/2018,-38,
3/2/2018,-39,
3/3/2018,-39,
3/4/2018,-39,
3/5/2018,-42,
3/6/2018,-43,
3/7/2018,-44,
3/8/2018,-47,
3/9/2018,-46,
3/10/2018,-47,
3/11/2018,-45,
3/12/2018,-44,
3/13/2018,-44,
3/14/2018,-43,
3/15/2018,-44,
3/16/2018,-43,
3/17/2018,-45,
3/18/2018,-47,
3/19/2018,-48,
3/20/2018,-47,
3/21/2018,-47,
3/22/2018,-49,
3/23/2018,-51,
3/24/2018,-51,
3/25/2018,-52,
3/26/2018,-54,
3/27/2018,-54,
3/28/2018,-54,
3/29/2018,-53,
3/30/2018,-55,
3/31/2018,-57,
4/1/2018,-61,
4/2/2018,-61,
4/3/2018,-60,
4/4/2018,-57,
4/5/2018,-57,
4/6/2018,-56,
4/7/2018,-54,
4/8/2018,-53,
4/9/2018,-54,
4/10/2018,-55,
4/11/2018,-52,
4/12/2018,-53,
4/13/2018,-53,
4/14/2018,-54,
4/15/2018,-54,
4/16/2018,-53,
4/17/2018,-55,
4/18/2018,-53,
4/19/2018,-54,
4/20/2018,-53,
4/21/2018,-53,
4/22/2018,-52,
4/23/2018,-51,
4/24/2018,-49,
4/25/2018,-49,
4/26/2018,-49,
4/27/2018,-47,
4/28/2018,-47,
4/29/2018,-46,
4/30/2018,-49,
5/1/2018,-48,
5/2/2018,-49,
5/3/2018,-50,
5/4/2018,-51,
5/5/2018,-52,
5/6/2018,-53,
5/7/2018,-53,
5/8/2018,-54,
5/9/2018,-53,
5/10/2018,-54,
5/11/2018,-56,
5/12/2018,-56,
5/13/2018,-56,
5/14/2018,-58,
5/15/2018,-58,
5/16/2018,-59,
5/17/2018,-58,
5/18/2018,-58,
5/19/2018,-56,
5/20/2018,-54,
5/21/2018,-52,
5/22/2018,-54,
5/23/2018,-56,
5/24/2018,-56,
5/25/2018,-57,
5/26/2018,-58,
5/27/2018,-57,
5/28/2018,-58,
5/29/2018,-57,
5/30/2018,-56,
5/31/2018,-58,
6/1/2018,-59,
6/2/2018,-60,
6/3/2018,-62,
6/4/2018,-63,
6/5/2018,-63,
6/6/2018,-63,
6/7/2018,-63,
6/8/2018,-63,
6/9/2018,-63,
6/10/2018,-64,
6/11/2018,-63,
6/12/2018,-64,
6/13/2018,-67,
6/14/2018,-67,
6/15/2018,-68,
6/16/2018,-67,
6/17/2018,-67,
6/18/2018,-66,
6/19/2018,-65,
6/20/2018,-66,
6/21/2018,-66,
6/22/2018,-68,
6/23/2018,-70,
6/24/2018,-73,
6/25/2018,-74,
6/26/2018,-72,
6/27/2018,-74,
6/28/2018,-76,
6/29/2018,-76,
6/30/2018,-78,
7/1/2018,-76,
7/2/2018,-77,
7/3/2018,-77,
7/4/2018,-77,
7/5/2018,-77,
7/6/2018,-78,
7/7/2018,-77,
7/8/2018,-75,
7/9/2018,-75,
7/10/2018,-76,
7/11/2018,-74,
7/12/2018,-74,
7/13/2018,-74,
7/14/2018,-71,
7/15/2018,-73,
7/16/2018,-74,
7/17/2018,-74,
7/18/2018,-74,
7/19/2018,-75,
7/20/2018,-75,
7/21/2018,-76,
7/22/2018,-76,
7/23/2018,-78,
7/24/2018,-77,
7/25/2018,-77,
7/26/2018,-75,
7/27/2018,-76,
7/28/2018,-76,
7/29/2018,-74,
7/30/2018,-74,
